,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,
"AI Artificial
Intelligence",9507,18087,--,6191,--,9519,9240,--,--,4810,--,--,5160,--,--,4257,7979,6198,26148,--,33645,24190,--,28919,
,,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,87651,--,96284,77746,83360,96248,80402,--,105256,61486,--,80200,67191,86716,82164,54199,64156,68346,89571,90786,98119,104430,--,105733,
CS Computers,4711,--,--,4503,7296,5693,4589,--,7166,2769,--,4674,2889,--,4709,2381,3599,4590,16022,17797,18002,14085,16438,20958,
EC Electronics,15177,--,18548,9878,15407,11817,14932,--,--,7229,19840,11206,7649,--,10785,6878,10960,10726,33384,46591,40719,29072,--,30200,
EE Electrical,27073,--,54121,27069,32204,43255,38348,50948,89610,21517,--,--,22779,--,31736,17701,28703,31268,60859,73849,74966,64153,--,72997,
IE Info.Science,8475,--,--,5718,--,7313,8098,--,--,3566,--,--,4122,--,--,3453,7193,5695,24191,31375,31745,23218,--,24028,
ME Mechanical,78384,--,84665,78536,86868,88362,86388,--,138054,58156,--,82171,66106,77671,80740,50201,74224,75314,136712,180526,198556,140649,188634,153671,
E002  S K S J T Institute of Engineering.  Bangalore,,,,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,
CE Civil,107340,--,--,103278,--,110030,98497,--,--,92314,--,--,95051,--,103463,92293,92655,101907,109723,--,123965,121341,145114,131157,
CS Computers,13400,--,--,14868,18219,16172,16582,--,--,12362,--,--,11775,--,13421,11659,12468,12912,29566,36626,38255,26429,--,36547,
EC Electronics,34683,--,38914,28615,36985,30430,37556,--,--,26021,--,32410,25329,--,--,24842,28303,29803,57612,58040,58499,81627,--,--,
ST Silk Tech.,164052,--,--,142074,--,170902,145685,--,--,--,--,--,--,--,--,123325,157732,128490,149441,--,180147,169092,--,--,
TX Textiles,170394,--,--,176121,--,--,164403,--,--,164394,192913,--,173683,--,--,147111,150705,172094,199729,--,--,199981,--,--,
"E003  B M S College of Engineering  Basavanagudi,Bangalore",,,,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,
CE Civil,46793,--,--,45038,--,66687,76021,--,--,39107,--,--,50944,90422,--,37604,77705,61528,81416,--,111081,79398,--,131971,
EC Electronics,5251,--,8613,5480,11124,6436,8284,--,--,3435,--,--,3830,--,--,1998,6227,3894,24630,47314,35545,24786,--,--,
EE Electrical,25274,--,--,17834,--,18654,11113,--,--,11450,--,--,11090,--,22534,8345,15787,17602,46280,--,74985,51371,80710,109321,
"IM Ind. Engg.
Mgmt.",60836,--,--,75155,122007,87905,86500,--,183529,51790,--,92500,54319,--,--,41975,118046,84363,123518,--,194755,165009,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,68046,94196,69929,37487,--,74434,39647,--,--,28748,--,--,38650,--,75117,20448,36575,42559,99204,--,113104,117491,--,--,
E004  Dr. Ambedkar Institute Of Technology  Bangalore,,,,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,
